2044.0000 13.0017 141.3932 13.3018 137.2970	107.5445
2079.0000 -13.9524 327.9440 -13.6451 332.0507	120.0140
2109.0000 -14.8649 317.0256 -14.5477 321.1478	91.7778
2116.0000 15.2516 281.0787 15.6329 276.2277	229.2929
2118.0000 6.8565 118.9814 7.0750 114.9576	99.5607
2118.0000 9.8850 156.9578 10.5138 147.3105	1203.5616
2119.0000 -0.8981 177.7817 -0.8213 181.7815	122.4481
2128.0000 9.4446 22.3180 9.5491 20.6599	52.9713
2130.0000 -3.3331 10.1583 -3.1636 14.7051	213.1842
2131.0000 2.6792 104.5063 2.8164 100.5041	97.1679
2138.0000 -7.5386 51.2959 -7.4458 52.9460	52.9713
2161.0000 -7.9436 42.1645 -7.7121 46.1955	77.8941
2225.0000 -14.7491 226.0739 -14.3936 230.7127	209.0599
2254.0000 7.0723 177.9643 7.5808 168.8260	1062.7936
2255.0000 9.1844 201.3599 9.4370 197.3147	144.2360
2265.0000 -8.0452 28.0507 -7.8121 32.0824	142.9526
2289.0000 -12.7488 279.5337 -12.4551 283.6214	78.5374
2308.0000 4.5121 55.7446 4.6895 51.7355	58.2739
2353.0000 -12.2331 17.4635 -11.7623 24.1631	490.2529
2439.0000 15.0096 207.2792 15.3318 203.1483	68.9874
2443.0000 -4.4861 228.1646 -4.3123 232.1728	77.5770
2444.0000 8.3457 15.8528 8.5866 11.8163	64.1860
2446.0000 -11.2868 223.1185 -11.0103 227.1857	79.5383
2467.0000 17.3523 205.4841 17.7718 200.4266	246.0059
2498.0000 -6.4570 170.0022 -6.2484 174.0215	57.3421
2503.0000 -6.9517 313.9099 -6.6342 319.8297	382.2000
2526.0000 11.3459 319.6578 11.4595 318.0027	52.4265
2543.0000 9.3848 102.8049 9.7863 96.4616	440.4012
2543.0000 -10.1829 212.0882 -10.0758 213.7367	52.4265
2549.0000 7.4649 155.4129 7.7894 149.6933	352.3745
2557.0000 -4.9169 112.7733 -4.7350 116.7833	76.0098
2600.0000 -12.1541 112.1145 -11.8138 116.9608	236.1234
2618.0000 6.1793 268.1476 6.3869 264.1288	104.8162
2621.0000 -5.1556 305.6966 -5.0785 307.3486	53.3479
2622.0000 12.0982 329.9536 12.2170 328.2736	53.3213
2627.0000 6.2530 283.2043 6.4619 279.1850	77.9701
2629.0000 -5.7981 338.4533 -5.7171 340.0919	52.6923
2634.0000 -7.5693 191.6334 -7.3433 195.6610	95.2713
2637.0000 -5.7408 147.9651 -5.4667 153.5790	340.6834
2640.0000 12.5716 283.9645 12.8667 279.8751	139.5571
2645.0000 -9.8296 253.7020 -9.4749 259.2876	330.3736
2662.0000 -8.8079 104.0571 -8.5640 108.0960	126.6410
2807.0000 -9.9904 225.1186 -9.7071 229.5373	194.5037
2808.0000 14.5212 202.0227 15.3351 191.5172	1457.1463
2810.0000 -7.1420 122.7751 -6.9219 126.8101	160.4413
2813.0000 7.5514 145.6673 8.0430 137.0951	901.8372
2816.0000 -13.2294 285.2758 -13.1058 286.9621	53.3213
2817.0000 8.9132 73.0013 9.1661 68.8934	165.4540
2824.0000 -9.6802 319.6553 -9.5754 321.3076	52.6923
2842.0000 -12.6895 174.4844 -12.3964 178.5711	79.7216
2865.0000 9.4032 41.0778 9.6588 37.0301	128.5989
2867.0000 -9.4282 247.0727 -9.1684 251.2356	170.3244
2869.0000 -9.7337 91.2583 -9.6286 92.9108	52.6923
2870.0000 16.0332 142.7244 16.1698 141.0164	53.3213
2873.0000 9.6512 176.6812 9.9101 172.6306	102.7075
2882.0000 9.3407 18.3158 9.6976 12.6584	340.2862
2888.0000 11.8747 71.4716 11.9924 69.7930	53.3213
2899.0000 -15.1627 229.3857 -14.7647 234.5183	261.6724
2906.0000 8.8394 177.2113 9.0961 173.0255	172.8192
2911.0000 3.7342 54.4196 3.8960 50.4140	142.2905
2936.0000 7.4447 270.8109 7.7540 265.3496	317.6289
3135.0000 3.6759 45.6968 3.8364 41.6914	87.6072
3136.0000 -4.6836 9.8374 -4.5061 13.8464	114.7223
3143.0000 -5.3094 46.3790 -5.0198 52.5550	423.1116
3144.0000 -7.6007 61.3273 -7.3743 65.3553	77.3537
3153.0000 -7.6898 9.1225 -7.4619 13.1510	86.8589
3162.0000 15.5626 216.8917 15.8908 212.7500	64.9731
3165.0000 6.9248 255.3927 7.3275 248.0573	623.0004
3170.0000 -5.9127 305.1645 -5.7035 309.3750	177.7757
3174.0000 10.7543 329.0469 11.0275 324.9830	117.7993
3189.0000 2.5773 22.5654 2.7121 18.5636	66.4055
3233.0000 -11.5822 16.7476 -11.3022 20.8187	121.1832
3234.0000 -10.9816 153.2900 -10.7090 157.3531	119.3481
3241.0000 -14.5173 27.0125 -14.2036 31.1289	96.0082
3242.0000 -5.1861 342.2111 -4.8490 349.5026	619.3209
3262.0000 -3.7964 35.1893 -3.6368 39.1946	54.7260
3304.0000 -12.3958 26.0625 -12.1061 30.1449	113.5466
3308.0000 -0.8147 335.6729 -0.7416 339.6727	61.5061
3330.0000 -8.8641 225.0646 -8.6194 229.1040	113.4336
3332.0000 -10.5754 174.9342 -10.3081 178.9926	141.1950
3500.0000 -8.3882 260.9572 -8.0328 267.0018	397.9685
3574.0000 -5.4525 56.0424 -5.2608 60.0554	98.0087
3605.0000 -5.0273 212.5415 -4.7729 218.1099	335.2412
3609.0000 -5.9578 218.6959 -5.7574 222.7119	140.8299
3616.0000 -9.0133 324.5289 -8.7667 328.5698	112.7194
3618.0000 -9.4202 325.6111 -9.3185 327.2353	51.5099
3928.0000 9.5922 355.8224 9.6908 354.2691	48.3592
3938.0000 3.2145 202.7997 3.3698 198.6601	172.1604
4892.0000 12.8856 213.1693 12.5987 217.3919	171.4838
4892.0000 -22.0501 116.4060 -22.4321 111.9268	174.8222
5338.0000 -7.9669 346.6403 -8.1883 342.6063	101.3250
5346.0000 17.9992 290.4011 17.6705 294.5886	90.3197
5370.0000 -16.5142 3.9157 -16.8320 -0.2467	114.3786
5376.0000 16.6109 257.0906 16.2952 261.2483	76.1749
5384.0000 17.7487 107.2499 17.1055 115.5224	757.4816
5496.0000 -20.6149 26.3883 -20.9697 22.1266	121.0699
5497.0000 -14.4104 83.1259 -14.5305 81.4546	52.2671
5508.0000 -13.4876 85.6090 -13.5958 84.0591	47.3067
5579.0000 -21.5856 236.3437 -21.9487 232.0545	121.1877
5585.0000 9.0297 158.9673 8.7973 163.0094	146.6263
5606.0000 18.3951 241.6871 17.8525 248.5560	486.9387
5607.0000 21.9621 253.2928 21.5991 257.5826	153.4791
5665.0000 15.5704 287.7924 15.2547 292.0673	171.9316
5666.0000 -22.6885 31.6324 -23.0607 27.3097	72.4140
5696.0000 15.3884 154.8610 14.9616 160.6782	345.7472
5701.0000 -19.5809 118.7340 -19.7112 117.1359	47.3067
5706.0000 8.1249 98.4371 7.6574 107.0545	912.7400
